,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_타차피해(가격)
83,현대 그랜저IG 하이브리드 2.4 HEV 익스클루시브 스페셜,차량번호 16보3326,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201828&gubun=K,2018.12?(19년형),"65,000 km",가솔린 하이브리드,"2,359 cc (199마력)",흰색,"60개월 / 100,000km","2,799만원",준비중,유,유,유,유,유,유,유,유,유,유,등록,,,,,,,,,
84,현대 디 올 뉴 그랜저 하이브리드  1.6 터보 HEV 프리미엄,차량번호 163호2060,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199981&gubun=K,2023.03,30 km,가솔린 하이브리드,"1,598 cc ()",흰색,정보없음,0원,소유,무,무,유,유,유,유,무,유,유,유,등록,,,,,,,,,
85,현대 더 뉴 그랜저 2.5  프리미엄 초이스,차량번호 162허3154,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204651&gubun=K,2020.06,"21,190 km",가솔린,"2,497 cc (198마력)",검정색,정보없음,0원,소유,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
86,현대 더 뉴 그랜저 하이브리드 2.4 HEV  익스클루시브,차량번호 170허8234,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204199&gubun=K,2021.04,"26,300 km",가솔린 하이브리드,"2,359 cc (200마력)",검정색,"60개월 / 100,000km",0원,소유,무,유,유,유,유,유,유,유,유,유,등록,,,,,,,,,
87,현대 더 뉴 그랜저  3.0 LPi  익스클루시브???,차량번호 277부8309,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202297&gubun=K,2021.02,"95,455 km",LPG,"2,999 cc (235마력)",검정색,"60개월 / 100,000km","2,869만원",81,무,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
88,현대 그랜저HG 300  익스클루시브,차량번호 01너2361,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204768&gubun=K,2014.01,"177,209 km",가솔린,"2,999 cc (270마력)",검정색,만료,770만원,21,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
89,현대 그랜저IG 3.0  익스클루시브,차량번호 36도9568,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204163&gubun=K,2017.01,"149,471 km",가솔린,"2,999 cc (266마력)",검정색,만료,"1,560만원",43,무,무,무,유,무,무,무,무,무,유,등록,,,,,,,,,
90,현대 그랜저HG 300 프리미엄,차량번호 36나0824,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199001&gubun=K,2013.05?(14년형),"235,888 km",가솔린,"2,999 cc (270마력)",검정색,만료,500만원,15,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
91,현대 더 뉴 그랜저 3.0 LPi   프리미엄,차량번호 361서3347,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205040&gubun=K,2020.03,"121,927 km",LPG,"2,999 cc (235마력)",검정색,정보없음,"2,350만원",73,유,유,유,유,유,유,유,유,무,유,등록,,,,,,,,,
92,현대 더 럭셔리 그랜저 Q270 LPi ,차량번호 05마5118,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202044&gubun=K,2009.09?(10년형),"162,000 km",LPG,"2,656 cc (165마력)",검정색,만료,280만원,준비중,무,무,무,무,무,무,무,무,무,무,등록,,,,,,,,,
93,현대 그랜저IG 하이브리드 2.4 HEV  익스클루시브 스페셜,차량번호 37누3541,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202610&gubun=K,2017.05?(18년형),"70,530 km",가솔린 하이브리드,"2,359 cc (199마력)",검정색,만료,"2,449만원",59,무,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
94,현대 더 뉴 그랜저 하이브리드 2.4 HEV 캘리그래피,차량번호 156마6718,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202609&gubun=K,2020.11?(21년형),"46,128 km",가솔린 하이브리드,"2,359 cc (200마력)",진회색,"60개월 / 100,000km","3,490만원",준비중,무,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
95,현대 더 뉴 그랜저 3.0 LPi   프리미엄,차량번호 153오1506,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2194808&gubun=K,2021.09?(22년형),"21,062 km",LPG,"2,999 cc (235마력)",흰색,정보없음,"3,090만원",97,유,유,무,무,무,무,무,무,무,무,등록,,,,,,,,,
96,현대 그랜저HG 240 모던,차량번호 32서1446,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199404&gubun=K,2015.10?(16년형),"75,941 km",가솔린,"2,359 cc (190마력)",흰색,만료,"1,380만원",46,유,유,무,유,유,유,무,유,무,무,등록,,,,,,,,,
97,현대 더 뉴 그랜저 하이브리드 2.4 HEV 프리미엄,차량번호 161조6120,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203988&gubun=K,2021.06?(22년형),"23,979 km",가솔린 하이브리드,"2,359 cc (200마력)",검정색,"60개월 / 100,000km","3,450만원",90,,,,,,,,,,,등록,,,,,,,,,
98,현대 더 뉴 그랜저 2.5  프리미엄 초이스,차량번호 115고3961,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203990&gubun=K,2020.03,"20,000 km",가솔린,"2,497 cc (198마력)",흰색,정보없음,"3,250만원",96,,,,,,,,,,,등록,,,,,,,,,
99,현대 더 뉴 그랜저 2.5  익스클루시브,차량번호 106구4656,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205279&gubun=K,2020.09,"56,182 km",가솔린,"2,497 cc (198마력)",흰색,정보없음,"2,680만원",72,,,,,,,,,,,등록,,,,,,,,,
100,현대 더 뉴 그랜저 3.0 LPi   모던,차량번호 107너1855,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205278&gubun=K,2020.12?(21년형),"24,897 km",LPG,"2,999 cc (235마력)",흰색,정보없음,"2,470만원",86,,,,,,,,,,,등록,,,,,,,,,
101,현대 더 뉴 그랜저 하이브리드 2.4 HEV  프리미엄 초이스,차량번호 152노4306,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204888&gubun=K,2020.10?(21년형),"57,940 km",가솔린 하이브리드,"2,359 cc (200마력)",검정색,"60개월 / 100,000km","3,040만원",79,,,,,,,,,,,등록,,,,,,,,,
102,현대 더 뉴 그랜저 2.5 익스클루시브,차량번호 378러9227,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204533&gubun=K,2020.09,"39,095 km",디젤,"2,497 cc (198마력)",흰색,정보없음,"3,270만원",88,유,유,무,무,무,무,무,무,무,무,등록,,,,,,,,,
103,현대 더 뉴 그랜저 하이브리드 2.4 HEV  프리미엄 초이스,차량번호 172버9411,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204519&gubun=K,2020.03,"31,294 km",가솔린 하이브리드,"2,359 cc (200마력)",검정색,"60개월 / 100,000km","3,420만원",89,무,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
104,현대 디 올 뉴 그랜저 하이브리드  1.6 터보 HEV 프리미엄,차량번호 163호2060,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199981&gubun=K,2023.03,30 km,가솔린 하이브리드,"1,598 cc ()",흰색,정보없음,0원,소유,무,무,유,유,유,유,무,유,유,유,등록,,,,,,,,,
105,현대 더 뉴 그랜저 2.5  프리미엄 초이스,차량번호 162허3154,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204651&gubun=K,2020.06,"21,190 km",가솔린,"2,497 cc (198마력)",검정색,정보없음,0원,소유,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
106,현대 더 뉴 그랜저 하이브리드 2.4 HEV  익스클루시브,차량번호 170허8234,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204199&gubun=K,2021.04,"26,300 km",가솔린 하이브리드,"2,359 cc (200마력)",검정색,"60개월 / 100,000km",0원,소유,무,유,유,유,유,유,유,유,유,유,등록,,,,,,,,,
107,현대 더 뉴 그랜저  3.0 LPi  익스클루시브???,차량번호 277부8309,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202297&gubun=K,2021.02,"95,455 km",LPG,"2,999 cc (235마력)",검정색,"60개월 / 100,000km","2,869만원",81,무,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
108,현대 그랜저HG 300  익스클루시브,차량번호 01너2361,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204768&gubun=K,2014.01,"177,209 km",가솔린,"2,999 cc (270마력)",검정색,만료,770만원,21,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
109,현대 그랜저IG 3.0  익스클루시브,차량번호 36도9568,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204163&gubun=K,2017.01,"149,471 km",가솔린,"2,999 cc (266마력)",검정색,만료,"1,560만원",43,무,무,무,유,무,무,무,무,무,유,등록,,,,,,,,,
110,현대 그랜저HG 300 프리미엄,차량번호 36나0824,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199001&gubun=K,2013.05?(14년형),"235,888 km",가솔린,"2,999 cc (270마력)",검정색,만료,500만원,15,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
111,현대 더 뉴 그랜저 3.0 LPi   프리미엄,차량번호 361서3347,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205040&gubun=K,2020.03,"121,927 km",LPG,"2,999 cc (235마력)",검정색,정보없음,"2,350만원",73,유,유,유,유,유,유,유,유,무,유,등록,,,,,,,,,
112,현대 더 럭셔리 그랜저 Q270 LPi ,차량번호 05마5118,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202044&gubun=K,2009.09?(10년형),"162,000 km",LPG,"2,656 cc (165마력)",검정색,만료,280만원,준비중,무,무,무,무,무,무,무,무,무,무,등록,,,,,,,,,
113,현대 그랜저IG 하이브리드 2.4 HEV  익스클루시브 스페셜,차량번호 37누3541,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202610&gubun=K,2017.05?(18년형),"70,530 km",가솔린 하이브리드,"2,359 cc (199마력)",검정색,만료,"2,449만원",59,무,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
114,현대 더 뉴 그랜저 하이브리드 2.4 HEV 캘리그래피,차량번호 156마6718,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202609&gubun=K,2020.11?(21년형),"46,128 km",가솔린 하이브리드,"2,359 cc (200마력)",진회색,"60개월 / 100,000km","3,490만원",준비중,무,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
115,현대 더 뉴 그랜저 3.0 LPi   프리미엄,차량번호 153오1506,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2194808&gubun=K,2021.09?(22년형),"21,062 km",LPG,"2,999 cc (235마력)",흰색,정보없음,"3,090만원",97,유,유,무,무,무,무,무,무,무,무,등록,,,,,,,,,
116,현대 그랜저HG 240 모던,차량번호 32서1446,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199404&gubun=K,2015.10?(16년형),"75,941 km",가솔린,"2,359 cc (190마력)",흰색,만료,"1,380만원",46,유,유,무,유,유,유,무,유,무,무,등록,,,,,,,,,
117,현대 더 뉴 그랜저 하이브리드 2.4 HEV 프리미엄,차량번호 161조6120,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203988&gubun=K,2021.06?(22년형),"23,979 km",가솔린 하이브리드,"2,359 cc (200마력)",검정색,"60개월 / 100,000km","3,450만원",90,,,,,,,,,,,등록,,,,,,,,,
118,현대 더 뉴 그랜저 2.5  프리미엄 초이스,차량번호 115고3961,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203990&gubun=K,2020.03,"20,000 km",가솔린,"2,497 cc (198마력)",흰색,정보없음,"3,250만원",96,,,,,,,,,,,등록,,,,,,,,,
119,현대 더 뉴 그랜저 2.5  익스클루시브,차량번호 106구4656,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205279&gubun=K,2020.09,"56,182 km",가솔린,"2,497 cc (198마력)",흰색,정보없음,"2,680만원",72,,,,,,,,,,,등록,,,,,,,,,
120,현대 더 뉴 그랜저 3.0 LPi   모던,차량번호 107너1855,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205278&gubun=K,2020.12?(21년형),"24,897 km",LPG,"2,999 cc (235마력)",흰색,정보없음,"2,470만원",86,,,,,,,,,,,등록,,,,,,,,,
121,현대 더 뉴 그랜저 하이브리드 2.4 HEV  프리미엄 초이스,차량번호 152노4306,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204888&gubun=K,2020.10?(21년형),"57,940 km",가솔린 하이브리드,"2,359 cc (200마력)",검정색,"60개월 / 100,000km","3,040만원",79,,,,,,,,,,,등록,,,,,,,,,
122,현대 더 뉴 그랜저 2.5 익스클루시브,차량번호 378러9227,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204533&gubun=K,2020.09,"39,095 km",디젤,"2,497 cc (198마력)",흰색,정보없음,"3,270만원",88,유,유,무,무,무,무,무,무,무,무,등록,,,,,,,,,
123,현대 더 뉴 그랜저 하이브리드 2.4 HEV  프리미엄 초이스,차량번호 172버9411,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204519&gubun=K,2020.03,"31,294 km",가솔린 하이브리드,"2,359 cc (200마력)",검정색,"60개월 / 100,000km","3,420만원",89,무,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
124,현대 디 올 뉴 그랜저 하이브리드  1.6 터보 HEV 프리미엄,차량번호 163호2060,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199981&gubun=K,2023.03,30 km,가솔린 하이브리드,"1,598 cc ()",흰색,정보없음,0원,소유,무,무,유,유,유,유,무,유,유,유,등록,,,,,,,,,
125,현대 더 뉴 그랜저 2.5  프리미엄 초이스,차량번호 162허3154,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204651&gubun=K,2020.06,"21,190 km",가솔린,"2,497 cc (198마력)",검정색,정보없음,0원,소유,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
126,현대 더 뉴 그랜저 하이브리드 2.4 HEV  익스클루시브,차량번호 170허8234,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204199&gubun=K,2021.04,"26,300 km",가솔린 하이브리드,"2,359 cc (200마력)",검정색,"60개월 / 100,000km",0원,소유,무,유,유,유,유,유,유,유,유,유,등록,,,,,,,,,
127,현대 더 뉴 그랜저  3.0 LPi  익스클루시브???,차량번호 277부8309,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202297&gubun=K,2021.02,"95,455 km",LPG,"2,999 cc (235마력)",검정색,"60개월 / 100,000km","2,869만원",81,무,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
128,현대 그랜저HG 300  익스클루시브,차량번호 01너2361,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204768&gubun=K,2014.01,"177,209 km",가솔린,"2,999 cc (270마력)",검정색,만료,770만원,21,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
129,현대 그랜저IG 3.0  익스클루시브,차량번호 36도9568,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204163&gubun=K,2017.01,"149,471 km",가솔린,"2,999 cc (266마력)",검정색,만료,"1,560만원",43,무,무,무,유,무,무,무,무,무,유,등록,,,,,,,,,
130,현대 그랜저HG 300 프리미엄,차량번호 36나0824,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199001&gubun=K,2013.05?(14년형),"235,888 km",가솔린,"2,999 cc (270마력)",검정색,만료,500만원,15,무,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
131,현대 더 뉴 그랜저 3.0 LPi   프리미엄,차량번호 361서3347,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205040&gubun=K,2020.03,"121,927 km",LPG,"2,999 cc (235마력)",검정색,정보없음,"2,350만원",73,유,유,유,유,유,유,유,유,무,유,등록,,,,,,,,,
132,현대 더 럭셔리 그랜저 Q270 LPi ,차량번호 05마5118,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202044&gubun=K,2009.09?(10년형),"162,000 km",LPG,"2,656 cc (165마력)",검정색,만료,280만원,준비중,무,무,무,무,무,무,무,무,무,무,등록,,,,,,,,,
133,현대 그랜저IG 하이브리드 2.4 HEV  익스클루시브 스페셜,차량번호 37누3541,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202610&gubun=K,2017.05?(18년형),"70,530 km",가솔린 하이브리드,"2,359 cc (199마력)",검정색,만료,"2,449만원",59,무,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
134,현대 더 뉴 그랜저 하이브리드 2.4 HEV 캘리그래피,차량번호 156마6718,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202609&gubun=K,2020.11?(21년형),"46,128 km",가솔린 하이브리드,"2,359 cc (200마력)",진회색,"60개월 / 100,000km","3,490만원",준비중,무,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
135,현대 더 뉴 그랜저 3.0 LPi   프리미엄,차량번호 153오1506,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2194808&gubun=K,2021.09?(22년형),"21,062 km",LPG,"2,999 cc (235마력)",흰색,정보없음,"3,090만원",97,유,유,무,무,무,무,무,무,무,무,등록,,,,,,,,,
136,현대 그랜저HG 240 모던,차량번호 32서1446,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2199404&gubun=K,2015.10?(16년형),"75,941 km",가솔린,"2,359 cc (190마력)",흰색,만료,"1,380만원",46,유,유,무,유,유,유,무,유,무,무,등록,,,,,,,,,
137,현대 더 뉴 그랜저 하이브리드 2.4 HEV 프리미엄,차량번호 161조6120,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203988&gubun=K,2021.06?(22년형),"23,979 km",가솔린 하이브리드,"2,359 cc (200마력)",검정색,"60개월 / 100,000km","3,450만원",90,,,,,,,,,,,등록,,,,,,,,,
138,현대 더 뉴 그랜저 2.5  프리미엄 초이스,차량번호 115고3961,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2203990&gubun=K,2020.03,"20,000 km",가솔린,"2,497 cc (198마력)",흰색,정보없음,"3,250만원",96,,,,,,,,,,,등록,,,,,,,,,
139,현대 더 뉴 그랜저 2.5  익스클루시브,차량번호 106구4656,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205279&gubun=K,2020.09,"56,182 km",가솔린,"2,497 cc (198마력)",흰색,정보없음,"2,680만원",72,,,,,,,,,,,등록,,,,,,,,,
140,현대 더 뉴 그랜저 3.0 LPi   모던,차량번호 107너1855,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2205278&gubun=K,2020.12?(21년형),"24,897 km",LPG,"2,999 cc (235마력)",흰색,정보없음,"2,470만원",86,,,,,,,,,,,등록,,,,,,,,,
141,현대 더 뉴 그랜저 하이브리드 2.4 HEV  프리미엄 초이스,차량번호 152노4306,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204888&gubun=K,2020.10?(21년형),"57,940 km",가솔린 하이브리드,"2,359 cc (200마력)",검정색,"60개월 / 100,000km","3,040만원",79,,,,,,,,,,,등록,,,,,,,,,
142,현대 더 뉴 그랜저 2.5 익스클루시브,차량번호 378러9227,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204533&gubun=K,2020.09,"39,095 km",디젤,"2,497 cc (198마력)",흰색,정보없음,"3,270만원",88,유,유,무,무,무,무,무,무,무,무,등록,,,,,,,,,
143,현대 더 뉴 그랜저 하이브리드 2.4 HEV  프리미엄 초이스,차량번호 172버9411,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204519&gubun=K,2020.03,"31,294 km",가솔린 하이브리드,"2,359 cc (200마력)",검정색,"60개월 / 100,000km","3,420만원",89,무,무,유,유,유,유,유,유,유,유,등록,,,,,,,,,
144,현대 뉴스타렉스 캠핑카 ,차량번호 76무3495,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204983&gubun=K,2006.06,"190,000 km",디젤,"2,476 cc ()",흰색투톤,정보없음,"1,399만원",준비중,,,,,,,,,,,등록,,,,,,,,,
145,현대 그랜드스타렉스 캠핑카 ,차량번호 76가6251,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2202594&gubun=K,2008.03,"85,206 km",디젤,"2,497 cc (174마력)",은색,정보없음,"1,900만원",준비중,,,,,,,,,,,등록,,,,,,,,,
146,현대 뉴스타렉스 캠핑카 ,차량번호 75버4997,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2201983&gubun=K,2005.04,"190,000 km",디젤,"2,476 cc ()",흰색투톤,정보없음,"1,399만원",준비중,,,,,,,,,,,등록,,,,,,,,,
147,현대 그랜드스타렉스  2.5 디젤 왜건 12인승 2WD CVX 디럭스,차량번호 75거0990,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2182119&gubun=K,2014.12?(15년형),"83,923 km",디젤,"2,497 cc (175마력)",진회색,정보없음,"1,159만원",준비중,무,무,유,무,무,유,무,무,무,무,등록,,,,,,,,,
